Questions,Answers,Category
What are the eligibility norms to get a credit card?,"Credit Card companies/ issuing banks do have a minimum income level requirement which serve as the preliminary point while apply for credit card. The income requirement varies from bank to bank, ranging between Rs.60,000 to Rs.2lac per annum, depending upon your choice on the type of card you want and also upon your risk profile. If you have a regular and steady income source, it helps, as the banks issuing Credit Cards need to be sure whether or not you will be able to repay the expenses incurred through your credit card. You have to be at least 21 years of age and not more than 65 years.",Gen Info
What is the minimum salary criterion?,"A minimum salary criterion differs on the type of card you are applying for. You need a salary of at least Rs.70 to 75,000 per annum for ordinary cards and for a Gold card, up to Rs.1lac 80,000 per annum.",Gen Info
Can anyone garnish my Social Security checks for credit card debt?," In most cases, your Social Security benefits should be protected from garnishments from debt collectors. However, there are some rules you need to know to ensure your Social Security checks don’t get garnished. First, a collector or creditor must get a civil court judgment to garnish any money from your wages or bank accounts. Even then, they must leave at least two months’ worth of Social Security income in the account. However, if you have more than two months’ worth of benefits in the account, you could risk losing some of it. The good news is that there are steps you can take to protect your benefits, so you’re not left high and dry. Learn how to protect your Social Security benefits from garnishment » ",Debt
Can I go to jail for not paying credit cards?," No. Debtor’s prison hasn’t been a thing in the United States since the 1800s, and yet there are plenty of collectors that threaten people with jail if they don’t pay. Credit card debt is a civil debt, which means that although a collector can sue you in civil court, you can’t face criminal charges, including prison. In other words, you can’t go to jail just because you don’t pay a credit card bill. In fact, if a collector threatens you with arrest, they’re the ones breaking the law. The collector is violating the Fair Debt Collection Practices Act (FDCPA). That means you have a right to sue them in civil court for collector harassment. Know what to do if a collector threatens you to scare you into paying » ",Gen Info
Does debt consolidation affect buying a home?," If you’re planning on buying a home, eliminating credit card debt through debt consolidation should make it easier to qualify. In most cases, debt consolidation should have a positive effect on your homebuying aspirations. As you consolidate, though, you could hurt your credit score or increase your debt-to-income ratio. Either of these things could make it harder to get approved for a mortgage at the lowest interest rate possible. Make sure that you understand these risks, so you can take the right steps to support your goal of buying a home. Understand how debt consolidation affects your ability to get mortgage approval » ",Debt
How can I get a credit card with bad credit?," If you’ve tried to get a credit card when you’re stuck with a low credit score, you know how difficult it can be. The best thing you can do in this situation is simply to build your credit score, so you can qualify for the credit card you want. However, if you can’t wait to use credit, try a secured credit card. You put down a small cash deposit to open a credit card with a limit of equal value to your deposit. If you fail to pay your balance, you lose the deposit. Secured credit cards allow you to build credit just like unsecured cards. Review your credit card options for your bad credit score »",Score & Report
How do credit cards work?," Put simply, credit cards allow you to make purchases now and pay later. If you don’t pay back the full balance you owe to the credit card company at the end of each payment period, they charge interest on your balance and you end up owing more. Credit usage weighs heavily on your credit score, so be aware of how you are using your cards. Discover Debt.com’s favorite credit card hacks »",Gen Info
How do I cancel a credit card?," Cancelling a credit card can sometimes hurt your credit score because it closes an account, affecting factors like the age of your credit. If you really want to cancel, make sure you’ve paid off the balance in full first. Also make sure to redeem any rewards you have left on the card. Then, follow this guide to cancel the card.",Gen Info
How does credit card interest work?," Interest charges on credit card transactions apply differently based on the type of transaction and how you pay your bills. For regular purchases, it’s possible to use a credit card interest-free if you pay your bill in full each month. For balance transfers and cash advances, interest charges apply immediately. Learn how to calculate credit card interest »",Interest & APR
How do secured credit cards work?," Secured credit cards help you build credit when your credit score is too low for a traditional unsecured card. The creditor requires some kind of deposit that is equal to the value of the credit line you need. For example, if you want a credit line worth $2,000, you need to give your creditor $2,000 first. If you make your payments on time each month, your score should be built back up in six months to one year. Find out if a secured credit card is right for you »",Gen Info
How long do I have to pay off a credit card balance?," Credit card debt is revolving debt, meaning there’s no set term that determines how long you have to pay off your balance. If you meet your minimum payment requirements, your creditors will be happy. That doesn’t mean that you should let your credit card balances linger, though. It’s in your best interest to pay off your balances as quickly as possible to save money and minimize the risk of debt problems. Of course, this flexibility with revolving debt payments only applies if you keep your account current. If you fall behind, this starts the countdown before the creditor charges off your account and sends it to collections. You generally have between six and nine months to catch up before your account goes to collections. There are some other milestones along the way that you want to avoid, such as when penalty APR applies. Get a detailed look at how long you have to pay off a balance » ","Bills,Statement & Limit"
How many credit cards should I have?," It’s not the number of credit cards you have, it’s when you got them and how you use them. If you apply for a few different cards within a few months, this tells creditors that you may be a risky borrower because you are going to make lots of large charges. If you apply for a few credit cards over the course of 10 years, this won’t be the case. But how many credit cards is too many? In general, it’s best to stick with fewer than seven and owe on fewer than four. Read about the problem with too many credit cards »",Gen Info
Should I use a 401(k) or IRA to pay off credit card debt?," Tapping your retirement accounts to pay off credit card debt isn’t doing yourself any favors. This maneuver can delay your retirement or prevent you from retiring at all. You’re not just losing the money you take out of your 401(k) or IRA. You’re also losing the growth you would have enjoyed had you not taken the money out of your account. You may also be required to pay taxes and penalties on the money you take out, depending on your age and the type of account. In general, you want to leave the money in your retirement accounts alone, so it will be there when you need it. The older you get, the more imperative it is to leave your retirement accounts alone. Our experts explain why tapping retirement accounts to pay off debt is a bad idea » ",Debt
What happens if I stop paying my credit cards?," Whether you miss a payment by accident or stop paying intentionally, there are consequences when you don’t pay your credit cards. A late payment won’t show up on your credit report unless it’s missed by more than 30 days. A higher penalty APR usually gets applied after 60 days of nonpayment, and you must make six consecutive payments to restore your original rate. Depending on the credit card company, you have six to nine months before the creditor will freeze your account, charge it off and send it to a collection agency. Once that happens, you could face legal action in civil court, which can lead to wage garnishment and worse. See what happens to a debt from the day it’s late until the creditor writes you off » ",Queries
Who is responsible for deceased parents’ debt?," Some people fear that when a loved one dies, their debt passes down to their inheritors. The truth is that credit card debt can’t be inherited; if a parent passes on, their credit card debt would not pass to you, for example. Credit card companies can make claims on the estate when someone passes away, but once the estate is settled, creditors don’t have any claim on your inheritance and they can’t come after you for any balance still owed. If you’re the executor of your parent’s estate, though, then it may be up to you to inform the credit card company that your parent is deceased. Learn what happens to outstanding credit card balances when a loved one passes away » ",Debt
Which credit card should I pay off first?," If you’re carrying several credit card balances each month, you must plan efficiently to pay them off. You can use extra cash to make bigger monthly payments, but you may not know the most cost-effective way to use that extra cash. Instead of putting more money toward each of the payments, focus on paying off one debt at a time. If you want to save money, then start with the balance that has the highest APR. If you don’t have a lot of extra cash flow, then you may be better off starting with the lowest balance first. Learn which credit card you should pay off first » ",Queries
What is a credit report and why does it matter?,"Your credit report is a review of your financial history and level of responsibility. It includes information about your payment histories on loans and debts. It also includes a summary of all your debts such as student loans, mortgages and credit cards.",Score & Report
What is a good credit score?,Credit scores range from 300 to 850 and is a one-number reflection of your credit history. A high score says you’re a good investment and are likely to pay back your loans. A low score says you may not have the ability to repay debts or that paying them back is not the priority that it should be.,Score & Report
How do I request a copy of my credit report?,"You’re entitled to one free credit report every 12 months from each of the national credit reporting bureaus: Equifax, Experian and TransUnion. You can request a copy of your credit report even if you’ve already received one within the last year, but you’ll have to pay a small fee.",Score & Report
Will checking my credit report lower my credit score?,Short answer: No. Credit reporting agencies understand the importance of you reviewing your credit history and other credit data.,Score & Report
Should I close lines of credit I’m not using?,"Typically, no. (It’s also not a good idea to request lower credit limits.) While these things may help curb your spending, it can actually hurt your credit score.","Bills,Statement & Limit"
How long does negative information remain on a credit report?,Most negative information (like late payments) remains on your credit report for seven years. Some information remains longer.,Score & Report
How can I improve my credit score?,"Check your credit report periodically and dispute anything you believe to be incorrect. Errors, inaccuracies and old information may be bringing down your score.
Pay your bills consistently. If necessary, set up reminders so you remember to pay them on time every month. Contact your creditors directly if you’re having trouble making payments. They may be able to work out a payment plan with you.
Decrease your total debt. Rather than moving debt from one line of credit to another, focus on lowering the total amount you owe. This includes keeping credit card balances low, as higher balances can harm your score.
Don’t close old credit accounts. Long-established credit accounts can help your score.
Apply for new credit sparingly. Although it increases your total available credit, opening several new lines of credit in a short period of time can actually hurt your score.",Score & Report
How does divorce affect my credit report?,"A divorce itself won’t affect your credit, but your ex-spouse’s actions can reflect on you after the fact.",Score & Report
What is credit counseling?,"A credit counseling organization can help you get your finances back in order if you’re struggling to repay debts. Many are nonprofit and will provide counseling services free of charge, but be aware that some companies hide their fees.",Queries
What is a debt management plan?,"When you participate in a debt management plan (DMP), you stop paying your creditors directly. Instead, your monthly payments are sent to your credit counseling organization, which then pays each bill for you.",Debt
What is debt consolidation?,"Similar to a DMP, debt consolidation allows you to combine several monthly payments into one. And like a DMP, it can also help you receive lower interest rates and fees.",Debt
What is debt settlement?,A successful debt settlement directly reduces the amount of money you are required to pay your creditors. You or a debt settlement firm will negotiate with your creditors and attempt to persuade them to reduce what you owe.,Debt
How much will bankruptcy hurt my credit report?,"Bankruptcy stays on your credit report for 10 years. When you first declare bankruptcy, your credit score could drop 200 points or more.",Score & Report
Will bankruptcy clear all my debts?,Bankruptcy can discharge all or most of your debts. The total amount depends on the type of bankruptcy and the types of debt.,Debt
Can I have a credit score without a credit card?," Of course. As long as you have some credit history, then you have a credit report. If you have a report, then you have something to calculate a score from. Some people stay away from credit cards all their lives and they still achieve a good score. It just involves using loans and repaying them responsibly. It is worth noting that credit is usually easier to build with responsible credit card use. Credit cards diversify your debt and show that you can manage revolving debt. That makes you more experienced with credit and thus makes you more creditworthy.",Score & Report
Do tax liens affect my credit score?," Recent changes to how credit scores are calculated affect how tax liens show up on your credit report. In April 2018, tax liens were removed from credit reports altogether. This means that the liens won’t change your credit score. You will still need to pay off your tax debt, though, as mortgage lenders still look at tax liens. Find out what tax liens will do to your credit score » ",Score & Report
Do you need monitoring if you don’t have credit cards?," It’s important to recognize that any type of credit can be included in your profile. This includes credit cards, as well as loans, in-store credit accounts and even public debts, such as back child support or alimony. If you opened any of these types of credit, even if the account is closed, you should have a report. Therefore, you have reason to check and monitor your credit. The type of ongoing monitoring you need depends on your goals. What level of monitoring do you need? » ",Queries
Does an authorized user build credit history?," The short answer is yes. A friend or family member can add you as an authorized user on their credit card account and you will receive a card of your own connected to theirs. This is a great option if you don’t have much of a credit history because you can start using credit without having to go through an approval process. Remember, an authorized user is not the same thing as a cosigner or a joint account holder. Determine how being an authorized user benefits you » ",Score & Report
Does checking your credit score lower it?," No. Checking your credit score will never lower your credit. Only inquiries known as “hard pulls” can affect your credit score. A hard pull happens when you authorize a check related to a credit application. In other words, when you apply for a new loan or credit card. If you have too many new credit applications within a 6-month period, it can decrease your score. All other inquiries are considered “soft pulls” and don’t negatively affect your credit score. This includes not only you checking your credit yourself, but also things like employment credit checks. You can check your credit score daily and even check your credit reports daily through a monitoring service and it will never negatively affect your score.",Score & Report
How does leasing a car affect your credit score?," Leasing a car can help you raise your credit score, but only if you are on time with your payments. When you first start the lease, you may actually see a slight drop in your score. This is because starting a lease opens a new account on your report. After about a month, this slight drop should bounce back up. If you pay your lease off early, this could also hurt your credit score. Stick to the terms of the lease and make your payments on time to really improve your credit. Learn more about how leasing a car changes your credit score » ",Score & Report
How is my score calculated?,Most credit scoring models use five basic factors to calculate consumer credit scores. Each factor carries a different “weight” for how much it impacts your score.  Credit history 35% Utilization 30% Length of use 15% New applications 15% Types of credit in use 10%,Score & Report
How long does credit repair take?," The timeline for correction depends on the number of mistakes you need to dispute. Credit bureaus have 30 days from the date they received your dispute to verify the information. In some cases, they may request follow up information which means the process may take longer, depending on how quickly you respond. Understand the repair timelines » ",Score & Report
How much does credit repair cost?," There are different levels of credit repair services. You can actually complete the process yourself at minimal cost. There is software available for purchase that can assist you. Finally, you can hire a third party licensed attorney in your state to make disputes on your behalf. Evaluate service versus cost » ",Score & Report
Is credit repair legal in all 50 states?," Federal law requires that any consumer has the right to dispute mistakes that may appear in their credit report. That means credit repair, itself, is 100% legal no matter where you live. You are also allowed to retain a third party to represent you and make disputes on your behalf. That party must be an attorney licensed in your state. Credit repair is illegal if the company you hire to correct your credit does not have a linseed attorney. They would not have the authority to make disputes for you. States also have laws that build on the federal protections granted to you. Learn more about repair regulations » ",Score & Report
Is there any way to raise your credit score in a month?," There are a couple of different methods you can use to raise your credit score quickly. The two actions that have the most impact are paying off a large credit card balance and getting current on a balance that’s past due. It’ unlikely that you will be able to raise your score by 50-100 points in one month, but you could boost your score enough to make a difference to creditors. Learn more about quickly improving your credit score » ",Score & Report
Is there such a thing as free credit repair?," If you chose to go through the credit repair process yourself, it’s relatively free. You may incur small charges if you use registered mail, return receipt to send your disputes to the bureaus. However, you can obtain and review your reports entirely for free through annualcreditreport.com. In most cases though, if someone or some piece of software assists you with the process, there will be a cost. Weigh cost versus effort of free credit repair » ",Score & Report
Should I monitor with one bureau or all three?," Although your credit reports should contain the same information, they may have discrepancies. These may be caused by differences in reporting or mistakes that should be removed. That gives you a reason to monitor the reports from all three credit bureaus. However, recognize that 3-report monitoring is usually more expensive. Weigh the benefits of 3-bureau monitoring » ",Score & Report
What happens to your credit score if you land in prison?," Even though your prison sentence won’t show up on your credit report, missed payments definitely will. There are ways to check your credit score from jail and prevent identity theft. To avoid credit score damage, talk to your creditors about allowing a friend or family member to take charge of your accounts. Don’t close any accounts, as this can actually hurt your credit score, but be mindful that some companies will cancel cards without warning after a period of inactivity. Find out how your credit score is affected by incarceration » ",Score & Report
What has the biggest impact on your credit score?," Many factors go into calculating your credit score. Your payment history has the most impact, so make sure you are paying your bills on time if you want a high score. Other factors, like the length of your credit history and your account utilization, also cause credit score fluctuations. To see why your credit score may be changing, it’s important to check your credit report. Luckily, any negative impacts will lessen over time as the derogatory item ages. Learn more about the most important factors for your credit » ",Score & Report
What is a credit report?," A credit report is a profile of your life as a credit user. It captures the loans and credit lines you’ve maintained throughout your life. By law, positive and neutral information can remain indefinitely, while negative information is removed after set periods of time. The information contained in your report is what the credit bureaus and creditors use to calculate your credit score. Anytime you apply for a new loan or credit card, you authorize the company to run a credit check. This means they review your credit report to determine your risk as a borrower. Learn more about your report » ",Score & Report
What is a credit score?," A credit score is a 3-digit number that lenders use to evaluate your creditworthiness. It helps lenders and creditors assess your risk as a borrower. The FICO credit score is the most widely used. FICO scores range from 300 to 850. The higher your score, the easier it is to get approved for financing. Learn more about FICO scoring » ",Score & Report
What is credit monitoring?," Credit monitoring is a financial service that tracks changes in your credit. It allows you to build credit effectively and maintain a high score. The service also alerts you to changes in your credit report that may impact your score, either positively or negatively. Monitoring allows you to proactively build credit while avoiding actions that lead to a bad score. Learn more about credit monitoring » ",Score & Report
What is credit repair?," Credit repair (also called credit restoration or credit correction) is the process of disputing mistakes in your report. Between your creditors and the credit bureaus, errors can occur in reporting. This is the financial process of disputing those mistakes. If the information cannot be verified it must be removed. Learn more about this process » ",Score & Report
What will help my credit score the most?," If you’re new to credit or you need to rebuild your score, you are probably wondering what you can do that will help it the most. Late payments have the biggest impact on your score, so catching up on past payments will really help. In addition, paying off credit card debt will improve your credit score. To keep up with what’s going on with your finances make sure to check your credit report. Discover the best way to help your credit score » ",Score & Report
Why do I have more than one credit report?," Each credit bureau (Experian, Equifax, and TransUnion) maintains its own proprietary version of your credit report. This means you actually have three reports instead of just one. Your reports generally contain the same information, although the way it’s reported in each version is unique. Learn more about your three reports  » ",Score & Report
1. What is a credit card and how is it different from a debit card?,"A credit card allows you to borrow money from a credit card company, with the agreement you will pay a percentage of interest on any outstanding debt at the end of each billing cycle. A debit card pulls money directly from an associated bank account. Responsible credit card use can help build your credit history. Generally, debit cards can’t do that.",Gen Info
2. What do I need to apply for a credit card?,"Applying for a credit card is a simple, straightforward process that requires some basic information. Students will need the name and location of their school in addition to a social security number and primary address. For security purposes, you may need to know your mother’s maiden name.",Gen Info
3. How do I get a credit card if I have no credit history?,"There are plenty of options on the market for people with limited credit history. Shop around to find the card with the lowest APR and fees you can qualify for. If you are having trouble being approved for cards, consider a secured credit card that requires a security deposit or ask a parent to add you as an authorized user on his or her card.",Gen Info
4. How many credit cards should I have in order to build credit?,"There is no “right” number of credit accounts to build a solid credit history. There are many factors that make up a credit score (and every reporting agency has many formulas), but late or missed payments, frequency of credit inquiries, and your credit utilization ratio are all major factors. When you’re starting out with credit, it can be safer to begin with one or two cards to ensure you can make payments consistently before adding more.",Gen Info
5. What are instant approval credit cards?,"Instant approval means you’ll receive a quick answer to your application for a new credit card. Typically, only people with good to excellent credit scores are granted instant approval. Learn more about instant approval credit card offers.",Gen Info
6. What does it mean to be “pre-approved” for a credit card?,"Receiving a pre-approved credit card offer means that a credit card issuer has verified with a credit bureau that you meet its credit criteria and has pre-approved you as a quality candidate for its product. You’ll still need to apply in order to actually receive a new credit card, at which point you may still be accepted or denied.",Gen Info
7. How old do you have to be to get a credit card?,"18 is typically the minimum age to apply independently for a credit card in the United States. However, people under 18 can be added as authorized users to their parents’ accounts.",Gen Info
8. Why does your APR go up if you’re making payments on time?,"There are a few reasons your Annual Percentage Rate (APR) can go up even if you’re up to date on all payments. These include a decrease in your credit score, the end of a card-related promotion, a change in the prime rate if you have a variable-rate card, or if you have made late payments.",Interest & APR
9. What tools are available to help manage my account?,"Online account management at Discover.com allows you to quickly and securely view transactions and make bill payments. You can also stay up to date on your account through custom e-mail and mobile reminders. Text APP to DISCOV (347268) to download the Discover Mobile App, and receive all of the convenience and security of online account management, including fraud alerts, the Spend Analyzer, and Paydown Planner to keep you informed and in control.",Gen Info
10. What are a few ways to avoid some credit card fees once you have a credit card?,"One simple rule: pay your bill in full and on time every month. Late fees can impact your pocketbook, and late or missed payments can also have a negative effect on your credit score.",Charges & Fees
"11. If you are shopping online, is it better to pay by credit card or debit card?","Advantages to online shopping with a credit card over a debit card usually include more purchase protection along with additional warranties and rewards. Not all cards are created equal, but many of the top credit cards offer benefits such as purchase protection, extended warranties, return guarantees, and rewards programs.",online
12. How do I lower my interest rates on credit cards?,"It never hurts to call your credit card company and ask for a lower interest rate. Depending on your current standing and credit history, a customer service representative may be able to approve a lower rate. Also consider a balance transfer to a card with a low or zero percent introductory APR offer, but watch out for balance transfer fees if you choose to do this.",Interest & APR
13. What is cash back?,"Cash back is when the credit card company gives you a certain percentage of what you put on the card back in the form of rewards. Different programs offer different redemption options. You may be able to use it as a credit toward your current statement, to shop online, to purchase gift cards, or simply have it deposited back into a connected bank account. Discover allows card members to donate their cash back to a wide selection of non-profit organizations as well.",Rewards & Cashback
14. What is a statement credit?,"A statement credit is a positive amount on your credit card bill. If you accidentally overpay, most credit cards will apply a statement credit toward your future purchases. As mentioned above, some rewards programs also allow you to apply cash back to a statement credit, lowering your balance by using your cash rewards.","Bills,Statement & Limit"
15. When should I redeem rewards on a credit card?,Some programs have no expiration dates and you can earn and use rewards whenever it’s convenient for you. Others have annual programs with “use it or lose it” clauses requiring that you redeem rewards within a certain time period or else forfeit their value. Be sure to read your Credit Card Agreement to understand if and when rewards expire.,Rewards & Cashback
What are the benefits of having an Emirates NBD Credit Card?,"As an Emirates NBD Credit Cardholder, you can enjoy a wide range of features and benefits in Saudi Arabia and United Arab Emirates. Following are some key benefits:",Rewards & Cashback
What types of Credit Cards Emirates NBD has to offer?,Emirates NBD offers both Conventional and Islamic Cards:,Bank & Customer Care
How can I access my Credit Card account?,You can register on Internet Banking or Mobile Banking to view your Credit Card statement and check your balance. You can always contact our Phone Banking service for any question you may have by calling 8007547777 or +966112825566.,Gen Info
How can I pay my Credit Card bill?,You can pay your Credit Card bill through the following options:,"Bills,Statement & Limit"
What is the minimum monthly payment?,Emirates NBD offers a range of easy payment methods. The amount due is reflected in your Credit Card statement. You can choose to pay the minimum payment due:,"Bills,Statement & Limit"
What happens if I lose my Credit Card or if my Credit Card is stolen and how can I request a replacement card?,Please notify us immediately by calling our Phone Banking service at 8007547777 or +966112825566. The bank will immediately block your Credit Card to avoid unauthorized transactions on your Credit Card account. Don't forget to request a replacement Card.,"Fraud,Loss,Theft & Disputes"
What are Plus Points and how can I redeem them?,Plus Points are points earned on retail transactions done on your Emirates NBD Credit Card which can be converted to Cash Back. You can redeem your Plus Points online instantly through Internet Banking and Mobile Banking or by calling our Phone Banking service at 8007547777 or +966112825566.,Rewards & Cashback
How can I convert purchase transactions to equal monthly installment?,"You can convert your purchases transactions into 3, 6, 9 or 12 equal monthly installments by following the below steps:","Bills,Statement & Limit"
How will Emirates NBD Credit Card help me and my family if I am unable to pay my dues and what is Credit Shield and how to enroll in the program?,"Emirates NBD Credit Cards offer an optional Credit Shield program that you can enroll to that protects your family from any outstanding balance on your Emirates NBD Credit Card in case of death or permanent disability God forbids. You can enroll by contacting our Phone Banking service at 8007547777 or +966112825566. Terms and conditions apply, for more information, please visit Cards section.",Queries
Can I activate my credit card in Internet Banking?,"Yes, you can. To activate your credit card in Internet Banking , go to My Accounts > My Bank Accounts > Go to Credit Card Services (link beneath your credit card number) > Card Services > Activate my card.",Queries
How do I set up direct debit on my credit card?,"You’ll need to contact your service provider directly to establish a direct debit with them. For example, if you want your gym to automatically direct debit your payments from your card, the gym can set this up for you.",Queries
When will I receive my credit card?,"If your credit card application is approved, you’ll receive your new card within 5-7 business days.",Gen Info
"What do I need for a credit card application, and how long will it take to complete?",You’ll need your:,Gen Info
"What do I do if my credit card is misplaced, lost or stolen?","If you’ve misplaced your credit card, you can temporarily lock your card via Suncorp Internet Banking.","Fraud,Loss,Theft & Disputes"
What happens after I’ve reported my card as lost or stolen?,When you report your card as lost or stolen:,"Fraud,Loss,Theft & Disputes"
What is a PIN and how do I change my credit card PIN?,"Your personal identification number (PIN) is a fraud and security measure for over-the-counter purchases, ATM and branch usage.",PIN
What should I do if my credit card is about to expire?,"A new card will automatically be sent to you. If you’re not sure whether we have your correct mailing address, for example if you've moved recently, please contact us.",Gen Info
What does the credit card complimentary international travel insurance cover?,"Complimentary international travel insurance is available for Platinum Card holders only. To find out what it covers, please view the description of insurance cover for Suncorp credit cards.",Gen Info
How do I dispute a transaction listed on my credit card statement?,"To dispute a transaction listed on your credit card, please contact us at any time.","Fraud,Loss,Theft & Disputes"
How do I increase my credit card limit?,"To increase your credit card limit, simply contact us and we’ll assess your request.","Bills,Statement & Limit"
How do I decrease my credit card limit?,You are able to request a decrease on your credit limit through:,"Bills,Statement & Limit"
"What is a credit card validation or security code, and where can I find it?",The credit card validation (CCV) number is a 3-digit number printed on the signature panel on the back of your card.,Gen Info
"When I’m in Internet Banking, why can’t I click through to my credit card account services? ","From 28 April 2018, card services will no longer support outdated browsers or operating systems.",Queries
How do I add or remove an additional credit card cardholder from my account?,"To add or remove a cardholder, simply contact us or visit your nearest Suncorp store.",Queries
How can I close my credit card account?,You are able to request to close your credit card account by:,Gen Info
Which ATMs can I use with my credit card?,"You can use any ATM where Visa is accepted. You can save on third party ATM operator fees by using our extensive Suncorp Bank and rediATMs, which won’t charge you any ATM fee. However, you will still be charged cash advance fees.",Gen Info
"What is Visa Secure, and are Suncorp credit cards covered by Visa Secure? ",Visa Secure is a service that helps minimise the risk of fraudulent purchases being made with your Visa card/s when you shop online at participating online stores.,Queries
How is interest calculated on my credit card?,"Interest is calculated by multiplying the applicable daily percentage rate by the daily unpaid balance of its balance type (including related fees and interest) for each day of that statement period, and then adding those amounts together.",Interest & APR
How many rewards points I can earn on my credit card?,Most reward credit cards do not have a cap on the number of reward points you can earn on your Suncorp Clear Options.,Rewards & Cashback
What is One-Time PIN?,"One-Time PIN (OTP) is a randomly generated 6-digit code which is a stronger method of authenticating your activities on Card Services. Each time you access Card Services, you’ll be required to enter an OTP. The OTP is received via SMS to your registered mobile number.",PIN
How do I update my mobile phone number?,"One-Time Pin (OTP) relies on you having your correct mobile phone number registered with us. To check your details, please give us a call on 13 11 55.",Gen Info
What about if I don’t have a mobile phone?,"Credit card customers will only be able to access post login via One-Time Pin (OTP) verification. If you don’t have a mobile phone, you won’t be able to access card services. You will continue to have access to other (non-credit card) internet banking services.",Gen Info
Will an OTP be required when I access my other accounts (i.e. transaction account) in internet banking?,"No, after logging into internet banking and clicking Go to Credit Card Services, a One-Time Pin (OTP) will be triggered and will need to be validated before entering Card Services. An OTP will not be triggered for any other internet banking services.",Gen Info
How does the OTP work?,"When you access Card Services, you will be required to enter a One-Time Pin (OTP) as a second level of authentication/added security to account maintenance functions online. This OTP will be delivered to you via SMS.",Queries
Will I receive an OTP for everything I do on Card Services?,"You only need to enter one OTP per session. Once you have entered your One-Time Pin (OTP), you can do as many things as you like within that session.",Gen Info
What activities do I need an OTP for?,"To ensure the security of your account, access to Card Services will require a One-Time Pin (OTP). Once you have verified the OTP, you will be able to view and/or amend details on your account such as (but not limited to):",Gen Info
Why is there a need for the OTP?,"One-Time Pin (OTP) is an additional security measure to protect your online account from being compromised. Should your Internet Banking credentials be compromised for any reason, the intruder will need to have your mobile phone to be able to access Card Services.",Gen Info
"I have recently updated my mobile phone number with Suncorp, when will I start receiving the OTP?","Once you have successfully updated your mobile number with us, the One-Time Pin (OTP) will be available immediately.",Gen Info
Do I have to pay for the One-Time Pin (OTP)?,"No, this enhanced security feature is free to all customers.",PIN
Can I access Card Services if I don’t have access to my mobile phone?,"No, you will need your mobile phone to access Card Services.",Gen Info
What if I don’t receive an OTP?,"If you don’t receive your One-Time Pin (OTP) you can ask for an OTP to be ‘resent’ via the OTP screen. This will expire after eight minutes. If you still don’t receive your OTP, give us a call on 13 11 55.",Gen Info
How long does it take to receive an OTP to my mobile phone?,The One-Time Pin (OTP) will be sent to your mobile phone instantly. The receipt of the OTP will depend on your network coverage and can be delayed.,Gen Info
How long is the OTP valid for?,"The One-Time Pin (OTP) is valid for five minutes only. After this time, you will need to generate a new OTP. You can do this through the OTP screen.",Gen Info
What happens if I enter an incorrect OTP?,"If you enter your One-Time Pin (OTP) incorrectly in three consecutive attempts, your access to Card Services will be blocked. If this happens, you will need to contact us on 13 11 55 to reset the OTP.",Gen Info
Do I need the OTP to log on to Internet Banking?,No. The way you log into Internet Banking won’t change (you will still require your Customer ID and Password). A One-Time Pin (OTP) will only be triggered after you click on Go to Credit Card Services.,Gen Info
Can I receive an OTP when I’m travelling overseas?,Yes. You’ll need to activate international roaming on your mobile phone before you travel overseas in order to receive the One-Time Pin (OTP). Contact your network provider as SMSs may incur an additional cost.,Gen Info
Can I receive the OTP to an overseas mobile number?,"Yes. One-Time Pin (OTP) is supported in a number of international countries. If you plan to travel and will be using a non-Australian number, please ensure you update your mobile number on our system before you leave. If you any questions, please contact us on 13 11 55 beforehand to ensure the country you are travelling to will be supported for OTP delivery.",Gen Info
Can I receive the OTP if I have call forwarding activated for my mobile phone?,"No, a One-Time Pin (OTP) will not get forwarded. This would compromise your online security. Please ensure your contact details in our system are up to date.",Gen Info
Can I register a second mobile phone number?,"No, the One-Time Pin (OTP) will only be sent to the primary mobile phone number in our system. To update your contact details or to confirm the primary number, please contact us on 13 11 55.",Gen Info
Do I have to enrol for One-Time Pin (OTP)?,"No, this is available to all Credit Card customers and will be a mandatory requirement to access Card Services.",PIN
How can I make payments to my credit card?,You can make payments to your credit card through:,"Bills,Statement & Limit"
How are payments allocated if you have additional cardholders?,"When you make a payment to your account using the Reference Number shown on your statement (which is also your Account Number), the available limit is updated for you as the primary cardholder as soon as the payment is processed.","Bills,Statement & Limit"
What is a credit card balance transfer?,A balance transfer is when you transfer the balance of your credit or store card account from another financial institution (excluding Citigroup and other Suncorp credit card/s) to your Suncorp Clear Options Credit Card.,"Bills,Statement & Limit"
How does a Balance Transfer work?,A Balance Transfer lets you:,"Bills,Statement & Limit"
How can I get the most out of my Balance Transfer?,To get the most out of your Balance Transfer it is important that you follow the below recommendations:,"Bills,Statement & Limit"
What are the benefits of closing your other credit card after a Balance Transfer?,Some of the benefits from closing your other credit cards and loans are:,"Bills,Statement & Limit"
How does Balance Transfer affect the Interest charge on my account?,"Once a Balance Transfer is processed on your Suncorp Credit Card, the interest charges will be as follows:",Interest & APR
"If I have Balance Transfers at different rates, which one does my credit card payments get applied to first?",We will apply payments firstly to:,Queries
What is a Balance Transfer fee and how is it calculated?,A Balance Transfer fee can be applicable on some promotional offers. This fee is calculated as a percentage of the total amount being transferred and is added to the Balance Transfer amount.   ,Charges & Fees
How do I pay my credit card while overseas?,You can make payments to your credit card while you are travelling overseas via:,Gen Info
